Bus Name,Addr 1,Addr 2,"City, State Zip",Dist,Map
PORTLAND PHARMACY INC,1295 PORTLAND AVE STE 2,,"ROCHESTER, NY 14621",64 miles,Map
ROCHESTER GENERAL HOSPITAL,1455 E RIDGE RD,,"ROCHESTER, NY 14621",64 miles,Map
ROCHESTER GENERAL HOSPITAL,1425 PORTLAND AVE,,"ROCHESTER, NY 14621",64 miles,Map
ROCHESTER GENERAL HOSPITAL,1425 PORTLAND AVE BLDG 1,,"ROCHESTER, NY 14621",64 miles,Map
"WALGREEN EASTERN CO., INC.",792 W MAIN ST,,"ROCHESTER, NY 14611",66 miles,Map
PARK RIDGE APOTHECARY INC,GENESEE CAMPUS APOTHECARY,89 GENESEE ST,"ROCHESTER, NY 14611",66 miles,Map
TOPS MARKETS,999 EAST RIDGE ROAD,,"ROCHESTER, NY 14621",64 miles,Map
"RITE AID OF NEW YORK, INC.",1000 NORTH CLINTON AVENUE,,"ROCHESTER, NY 14621",65 miles,Map
"WALGREEN EASTERN CO., INC.",720 E. RIDGE RD,,"ROCHESTER, NY 14621",65 miles,Map
"RITE AID OF NEW YORK, INC.",605 TITUS AVENUE,,"ROCHESTER, NY 14617",65 miles,Map
"IRONDEQUOIT PHARMACY, LLC",545 TITUS AVE,,"ROCHESTER, NY 14617",65 miles,Map
"KPH HEALTHCARE SERVICES, INC.",3873 ROME ROAD,,"PULASKI, NY 13142",68 miles,Map
"WALGREEN EASTERN CO., INC.",1490 LAKE AVE,,"ROCHESTER, NY 14615",67 miles,Map
"WALGREEN EASTERN CO., INC.",321 W. WASHINGTON ST.,,"BATH, NY 14810",68 miles,Map
"RITE AID OF NEW YORK, INC.",338 WEST WASHINGTON STREET,,"BATH, NY 14810",68 miles,Map
TOPS MARKETS,309 W MORRIS STREET,,"BATH, NY 14810",68 miles,Map
"CVS ALBANY, L.L.C.",100 E. NAPLES ST.,,"WAYLAND, NY 14572",68 miles,Map
TOPS MARKETS,3507 MT. READ BLVD,,"GREECE, NY 14616",69 miles,Map
"KPH HEALTHCARE SERVICES, INC.",2 PRESTON ST,,"CAMDEN, NY 13316",71 miles,
ECKERD CORPORATION,40 SOUTH ERIE STREET,,"MAYVILLE, NY 14757",5 miles,Map
"CVS ALBANY, L.L.C.",117 E. MAIN ST.,,"WESTFIELD, NY 14787",13 miles,Map
"RITE AID OF NEW YORK, INC.",963 FAIRMOUNT AVENUE WE,,"JAMESTOWN, NY 14701",15 miles,Map
SOUTHERN TIER INFUSION,INC.,863 FAIRMOUNT AVE,"JAMESTOWN, NY 14701",16 miles,Map
HERITAGE VILLAGE REHAB AND SKILLED NURSING INC,4600 RT 60,PO BOX 350,"GERRY, NY 14740",20 miles,Map
TOPS MARKETS,2000 WASHINGTON ST,,"JAMESTOWN, NY 14701",17 miles,Map
ECKERD CORPORATION,811 NORTH MAIN STREET,,"JAMESTOWN, NY 14701",18 miles,Map
"CVS ALBANY, L.L.C.",19 S. MAIN ST.,,"JAMESTOWN, NY 14701",18 miles,Map
"RITE AID OF NEW YORK, INC.",50 SOUTH MAIN STREET,,"JAMESTOWN, NY 14701",18 miles,Map
"CHAUTAUQUA CENTER, INC",107 INSTITUTE ST,,"JAMESTOWN, NY 14701",19 miles,Map
"CVS ALBANY, L.L.C.",10 SOUTH WORK ST.,,"FALCONER, NY 14733",20 miles,Map
"PENNSYLVANIA CVS PHARMACY, L.L.C.",118 W. MAIN ST.,,"NORTH EAST, PA 16428",25 miles,Map
ECKERD CORPORATION,1166 CENTRAL AVENUE,,"DUNKIRK, NY 14048",24 miles,Map
"TOPS MARKETS, LLC",3955 VINEYARD DR.,,"DUNKIRK, NY 14048",25 miles,Map
GGG61 CORP,10220 ROUTE 60,,"FREDONIA, NY 14063",24 miles,Map
"RITE AID OF NEW YORK, INC.",3795 EAST MAIN ROAD,,"FREDONIA, NY 14063",24 miles,Map
"THE CHAUTAUQUA CENTER, INC.",75 E 3RD ST,,"DUNKIRK, NY 14048",27 miles,Map
"CVS ALBANY, L.L.C.",175 EAST 4TH STREET,,"DUNKIRK, NY 14048",26 miles,Map
GIANT EAGLE PHARMACY #4038,4265 BUFFALO ROAD,,"ERIE, PA 16510",36 miles,Map
"RITE AID OF NEW YORK, INC.",214 CENTRAL AVENUE,,"SILVER CREEK, NY 14136",36 miles,Map
TOPS MARKETS,1702 EAST 38TH STREET,,"ERIE, PA 16510",38 miles,Map
WAL-MART PHARMACY 10-5445,2711 ELM STREET,,"ERIE (C), PA 16504",39 miles,Map
"PENNSYLVANIA CVS PHARMACY, L.L.C.",3800 PINE AVE,,"ERIE, PA 16504",40 miles,Map
"PENNSYLVANIA CVS PHARMACY, L.L.C.",410 EAST 12TH STREET,,"ERIE, PA 16503",41 miles,Map
"PENNSYLVANIA CVS PHARMACY, L.L.C.","100 MARKET ST.,",,"WARREN, PA 16365",39 miles,Map
TOPS PHARMACY,74 MARKET STREET,,"WARREN, PA 16365",39 miles,Map
THE LANE DRUG COMPANY,163 WEST 26TH STREET,,"ERIE, PA 16508",41 miles,Map
PHARMSV A PATIENT/ASSOCIATE PHARMACY,232 W 25TH ST,ST VINCENT HOSP,"ERIE, PA 16544",42 miles,Map
TOPS PHARMACY,712 W 38TH STREET,,"ERIE, PA 16508",42 miles,Map
TOPS MARKETS LLC,1520 W 26TH ST & GREEN GARDEN,,"ERIE, PA 16508",44 miles,Map
WAL-MART PHARMACY 10-2278,1825 DOWNS DRIVE,,"ERIE, PA 16509",43 miles,Map
